block,street_name,lat,lng
748,YISHUN ST 72,1.42747095,103.83342626848513
797,YISHUN RING RD,1.4192,103.833592
704,ANG MO KIO AVE 8,1.37039695,103.84725040416309
728,ANG MO KIO AVE 6,1.3726394499999999,103.8456832
57,CHAI CHEE DR,1.325927,103.920313
151,BEDOK RESERVOIR RD,1.33558895,103.91155614712994
208,NEW UPP CHANGI RD,1.325414,103.931181
133,BISHAN ST 12,1.3455609,103.85176014151327
166,BT BATOK WEST AVE 8,1.347273,103.742826
213,BT BATOK ST 21,1.3467889,103.75254352033164
251,BT BATOK EAST AVE 5,1.3507687000000002,103.75757269063746
252,BT BATOK EAST AVE 5,1.35042,103.757256
415,BT BATOK WEST AVE 4,1.36323895,103.74662791716463
2,JLN BT HO SWEE,1.3639868499999999,103.82869137502009
133,JLN BT MERAH,1.3636583500000001,103.8293181
401,FAJAR RD,1.38061,103.768783
334,KRETA AYER RD,1.28163205,103.84231222587111
350,UBI AVE 1,1.32578905,103.90130187263381
82B,CIRCUIT RD,1.32382165,103.88965967780037
220,HOUGANG ST 21,1.35700085,103.8843856155957
692,HOUGANG ST 61,1.376659,103.886832
993A,BUANGKOK LINK,1.384758,103.883274
215,JURONG EAST ST 21,1.33993265,103.73852120263635
235,JURONG EAST ST 21,1.3399442000000001,103.7421995784386
502,JURONG WEST AVE 1,1.3503413,103.71791434691279
3,ST. GEORGE'S RD,1.32261845,103.86111815212945
9,ST. GEORGE'S RD,1.3237619999999999,103.86309478997373
62,JLN MA'MOR,1.3282651,103.8569288
5,CHANGI VILLAGE RD,1.3893242,103.9873527
303C,PUNGGOL CTRL,1.4040793,103.90529985288671
43,HOLLAND DR,1.3074777000000002,103.79282734456181
185A,RIVERVALE CRES,1.3933444000000001,103.90711210451641
228C,COMPASSVALE WALK,1.3877782,103.90065108726056
353B,ANCHORVALE LANE,1.3942854,103.8854975755535
244,SERANGOON AVE 2,1.3524992,103.8687477
365,TAMPINES ST 34,1.3576111000000002,103.96053993187394
412,TAMPINES ST 41,1.3594609,103.94625522657623
849,TAMPINES ST 83,1.35279835,103.93546151190253
609A,TAMPINES NTH DR 1,1.363659,103.935223
876A,TAMPINES AVE 8,1.3531053,103.93026173238917
19,MARSILING LANE,1.4432798,103.77729639438823
826,WOODLANDS ST 81,1.439305,103.789586
103,YISHUN RING RD,1.4315956,103.82937069899288
435,ANG MO KIO AVE 10,1.3676957,103.85422938005833
464,ANG MO KIO AVE 10,1.36674755,103.85692818709128
39,BEDOK STH RD,1.3213868500000001,103.93973030237876
181,BT BATOK WEST AVE 8,1.345648,103.74345141328861
349,BT BATOK ST 34,1.36213,103.749501
119,PENDING RD,1.37662,103.769064
403,CHOA CHU KANG AVE 3,1.37954065,103.73890310067397
378,CLEMENTI AVE 5,1.3175351499999999,103.76746388128136
445A,CLEMENTI AVE 3,1.3128538,103.76417151720554
118,HOUGANG AVE 1,1.35346,103.887489
254,HOUGANG AVE 3,1.360299,103.891461
804,HOUGANG CTRL,1.3711728,103.894518
377A,HOUGANG ST 32,1.3630969,103.89446411518986
47,TEBAN GDNS RD,1.3201249,103.73985825933735
49,TEBAN GDNS RD,1.3208642,103.73817449402827
286D,TOH GUAN RD,1.3396256,103.74452078442565
335,KANG CHING RD,1.3390198500000001,103.72320002502232
7,ST. GEORGE'S LANE,1.32367225,103.85913248683687
14,KG ARANG RD,1.30013745,103.88423950208227
18,ST. GEORGE'S RD,1.32410535,103.86293197300587
4,CHANGI VILLAGE RD,1.38908,103.98745
512,PASIR RIS ST 52,1.37542015,103.9437136017255
303B,PUNGGOL CTRL,1.40393605,103.90551354383746
37,TANGLIN HALT RD,1.297765,103.798023
405A,FERNVALE LANE,1.38891185,103.8738147782422
472C,FERNVALE ST,1.396392,103.88122
122,SERANGOON NTH AVE 1,1.366648,103.871343
601B,TAMPINES AVE 9,1.36085845,103.9375046
613A,TAMPINES NTH DR 1,1.36585825,103.93508696953182
61,LOR 5 TOA PAYOH,1.336447,103.85207715398961
284,YISHUN AVE 6,1.439696,103.838832
469A,YISHUN ST 43,1.4248163,103.85229671882955
133,ANG MO KIO AVE 3,1.3711479,103.84263634923681
451,ANG MO KIO AVE 10,1.36887545,103.85557935036942
671,JLN DAMAI,1.33239865,103.90908613303044
278,BT BATOK EAST AVE 3,1.3477401,103.75789263162697
8,TELOK BLANGAH CRES,1.2777937499999998,103.81932487108878
109,GANGSA RD,1.377477,103.7678321
153,JLN TECK WHYE,1.3792167499999999,103.75863636975984
416,EUNOS RD 5,1.3179557000000002,103.89749699084862
403,HOUGANG AVE 10,1.374635,103.896355
256,JURONG EAST ST 24,1.3441884499999999,103.73827803102462
21,ST. GEORGE'S RD,1.324788,103.862195
805,KING GEORGE'S AVE,1.3083614,103.86081226704057
4C,ST. GEORGE'S LANE,1.3221538499999999,103.86090633026889
323A,SUMANG WALK,1.4125290000000001,103.89827799787732
408C,NORTHSHORE DR,1.41759785,103.90376268513243
46,HOLLAND DR,1.30874195,103.79272939176602
47,HOLLAND DR,1.3085396,103.79241707878757
116A,CANBERRA CRES,1.4454593,103.82985749940408
266B,COMPASSVALE BOW,1.38264445,103.89714421210876
104,SERANGOON NTH AVE 1,1.37061535,103.87110658487588
614B,TAMPINES NTH DR 1,1.363338,103.934623
618B,TAMPINES ST 61,1.3623212,103.93919490246913
130,POTONG PASIR AVE 1,1.3344491500000002,103.86560259999999
262,TOA PAYOH EAST,1.3332945999999999,103.8556348590136
103B,BIDADARI PK DR,1.3352067,103.87143674882714
690A,WOODLANDS DR 75,1.443588,103.808411
780B,WOODLANDS CRES,1.4490048,103.80102177255735
447,ANG MO KIO AVE 10,1.3674932000000002,103.85593810286824
509,BEDOK NTH ST 3,1.333611,103.931079
188C,BEDOK NTH ST 4,1.331817,103.940908
275,BT BATOK EAST AVE 4,1.3481162,103.75834969399295
460D,BT BATOK WEST AVE 9,1.3536057000000001,103.74011067343247
150,SILAT AVE,1.2769811,103.83137768802717
164,BT MERAH CTRL,1.283362,103.816779
127,PENDING RD,1.37649,103.769281
19,TOH YI DR,1.33992595,103.77390650000001
269C,QUEEN ST,1.3001008,103.8537468
246,HOUGANG ST 22,1.358763,103.891458
807,KING GEORGE'S AVE,1.3093166,103.86143972987715
34,TANGLIN HALT RD,1.296809,103.798387
66,C'WEALTH DR,1.299129,103.796586
99,C'WEALTH CRES,1.30740385,103.80122666997723
110,SIMEI ST 1,1.34263015,103.95007188381649
155,SIMEI RD,1.3447125999999998,103.95822587882556
860A,TAMPINES AVE 5,1.35544555,103.93865972484062
575,WOODLANDS DR 16,1.43120015,103.79724425776867
291,YISHUN ST 22,1.435808,103.836733
126,BEDOK RESERVOIR RD,1.33273785,103.91086890098741
355,BT BATOK ST 31,1.3617557,103.75054871182469
8,JLN BT HO SWEE,1.31600545,103.75975378659341
111,HOUGANG AVE 1,1.354854,103.888468
243,HOUGANG ST 22,1.357639,103.891708
303,HOUGANG AVE 5,1.3680848,103.8947947465804
514,HOUGANG AVE 10,1.3721128,103.88918547476791
914,JURONG WEST ST 91,1.3414134500000001,103.68794967022059
974,JURONG WEST ST 93,1.33971045,103.69326068510799
166B,YUNG KUANG RD,1.33120515,103.72226979883428
879,TAMPINES AVE 8,1.3520169499999999,103.93095984853701
115C,ALKAFF CRES,1.33720105,103.87288256798622
156,YISHUN ST 11,1.431887,103.833569
640A,YISHUN ST 61,1.420881,103.839077
154,BT BATOK ST 11,1.3477584500000002,103.7439792
303,BT BATOK ST 31,1.3569992499999999,103.74811725359905
41,KIM CHENG ST,1.284689,103.83159
351,JURONG EAST ST 31,1.3448351,103.73077489970441
217A,JURONG EAST ST 21,1.3404194500000002,103.73844901659285
701,PASIR RIS DR 10,1.37994475,103.93795064096489
94,DAWSON RD,1.29635845,103.81124590946789
119,SERANGOON NTH AVE 1,1.367566,103.871484
144,SIMEI ST 2,1.34531985,103.95550147066837
230H,TAMPINES ST 21,1.35633325,103.9500259
221,LOR 8 TOA PAYOH,1.3426065999999999,103.8570148638593
312,WOODLANDS ST 31,1.4306985,103.77565629761565
152,YISHUN ST 11,1.431029,103.834748
636,VEERASAMY RD,1.306306,103.855389
337,UBI AVE 1,1.3259725,103.90156595223371
43A,SIMS DR,1.316869,103.876635
356,HOUGANG AVE 7,1.3725971499999998,103.89881266568378
349,JURONG EAST AVE 1,1.3444073,103.73143449934929
19,ST. GEORGE'S RD,1.324446,103.862612
67,KALLANG BAHRU,1.3215587000000002,103.86923916316468
26B,ST. GEORGE'S LANE,1.32177035,103.86245605953039
213,PASIR RIS ST 21,1.3684299,103.9605739543468
704,PASIR RIS DR 10,1.3807893999999998,103.93728047442661
409D,NORTHSHORE DR,1.4181017,103.90345237013676
